Frequency (MHz),Call Sign,Service Code,Licensee Name,Phone Number,Latitude,Longitude,Licensee Provided Details,Power ERP (W),Power Out (W),Distance (miles),Computed Power (dBm)
1.48,WTOX,AM,"TBLC VIRGINIA HOLDINGS, LLC",(919) 943-1327,37.68,-77.56,"Language: English, Spanish",1.5,0,89.7,-85.977
1.48,WTOX,AM,"TBLC VIRGINIA HOLDINGS, LLC",(919) 943-1327,37.68,-77.56,"Language: English, Spanish",6.3,0,89.7,-79.745
1.49,WARK,AM,MANNING BROADCASTING INC.,(240) 217-3612,39.63,-77.71,Language: English,1,0,62.6,-83.5
1.49,WCVA,AM,"PIEDMONT COMMUNICATIONS, INC.",(434) 825-9882,38.48,-77.99,EAS type: LP-2; Language: English,0.68,0,60.4,-84.748
1.49,WLPA,AM,"HALL COMMUNICATIONS, INC.",(717) 653-0800,40.06,-76.32,,0.6,0,88.13,-89.804
1.5,WFED,AM,"WASHINGTON DC FCC LICENSE SUB, LLC",(202) 439-2014,39.04,-77.05,Language: English,50,0,9.8,-44.419
1.51,WVJJ,AM,"FM RADIO LICENSES, LLC",(302) 740-4720,39.58,-75.46,Language: English,2.5,0,95.29,-84.655
1.51,WWSM,AM,PATRICK H. SICKAFUS,(717) 813-0233,40.30,-76.46,Language: English,5,0,100.57,-82.289
1.52,WCHE,AM,"CHESTER COUNTY RADIO, INC.",(267) 226-8777,39.97,-75.63,Language: English,0.8,0,103.94,-90.699
1.52,WCHE,AM,"CHESTER COUNTY RADIO, INC.",(267) 226-8777,39.97,-75.63,Language: English,1,0,103.94,-89.729
1.52,WTRI,AM,1520 RADIO ASIA LLC,(301) 275-7358,39.31,-77.61,Language: English,17,0,42.79,-66.825
1.53,WCTR,AM,"HOMETOWN MULTIMEDIA, LLC",(732) 539-9837,39.23,-76.09,Language: English,0.27,0,54.17,-87.689
1.53,WCTR,AM,"HOMETOWN MULTIMEDIA, LLC",(732) 539-9837,39.23,-76.09,Language: English,1,0,54.17,-82.003
1.54,WACA,AM,"AC ACQUISITION, LLC",(301) 275-7358,39.01,-77.03,"Language: Spanish, English",1,0,7.72,-58.796
1.54,WACA,AM,"AC ACQUISITION, LLC",(301) 275-7358,39.01,-77.03,"Language: Spanish, English",5,0,7.72,-51.806
1.54,WULT,AM,"MOBILE RADIO PARTNERS, INC.",,37.54,-77.35,,0.01,0,95.8,-109.838
1.54,WULT,AM,"MOBILE RADIO PARTNERS, INC.",,37.54,-77.35,,1,0,95.8,-88.869
1.55,WMRE,AM,"AMFM RADIO LICENSES, L.L.C.",(918) 664-4581,39.27,-77.87,Language: English,0.01,0,52.67,-103.998
1.55,WMRE,AM,"AMFM RADIO LICENSES, L.L.C.",(918) 664-4581,39.27,-77.87,Language: English,5,0,52.67,-74.79
1.55,WSRY,AM,"PRIORITY RADIO, INC.",(302) 229-7466,39.60,-75.80,Language: English,0,0,80.61,-116.863
1.55,WSRY,AM,"PRIORITY RADIO, INC.",(302) 229-7466,39.60,-75.80,Language: English,1,0,80.61,-86.863
1.56,WKIK,AM,"SOMAR COMMUNICATIONS, INC.",,38.54,-76.99,,0.25,0,24.92,-78.921
1.56,WKIK,AM,"SOMAR COMMUNICATIONS, INC.",,38.54,-76.99,,1,0,24.92,-72.9
1.57,WNST,AM,"NASTY 1570 SPORTS, LLC",(410) 812-7493,39.42,-76.56,Language: English,0.24,0,43.03,-85.73
1.57,WNST,AM,"NASTY 1570 SPORTS, LLC",(410) 812-7493,39.42,-76.56,Language: English,5,0,43.03,-72.488
1.58,WJFK,AM,"ENTERCOM LICENSE, LLC",(240) 997-3955,38.87,-76.90,,0.27,0,6.45,-62.558
1.58,WJFK,AM,"ENTERCOM LICENSE, LLC",(240) 997-3955,38.87,-76.90,,50,0,6.45,-39.882
1.58,WVZN,AM,RADIO VISION CRISTIANA MANAGEMENT,(201) 747-9998,40.03,-76.48,Language: English,0.01,0,82.64,-110.337
1.58,WVZN,AM,RADIO VISION CRISTIANA MANAGEMENT,(201) 747-9998,40.03,-76.48,Language: English,0.5,0,82.64,-90.337
1.59,WFBR,AM,"WAY BROADCASTING LICENSEE, LLC",(212) 219-7392,39.18,-76.62,,1,0,28.04,-74.472
1.59,WFTH,AM,"STU-COMM, INC.",(434) 825-9882,37.50,-77.46,Language: English,0.02,0,100.07,-106.88
1.59,WFTH,AM,"STU-COMM, INC.",(434) 825-9882,37.50,-77.46,Language: English,5,0,100.07,-82.678
1.59,WHGT,AM,"WHGT CHRISTIAN RADIO, LLC",(301) 992-3740,39.81,-77.78,"Language: English, Spanish",0.06,0,74.84,-98.564
1.59,WHGT,AM,"WHGT CHRISTIAN RADIO, LLC",(301) 992-3740,39.81,-77.78,"Language: English, Spanish",15,0,74.84,-74.437
1.59,WPWA,AM,"MOUNT OCEAN MEDIA, L.L.C.",(804) 502-1207,39.88,-75.46,Language: Spanish,1,0,106.84,-90.449
1.59,WPWA,AM,"MOUNT OCEAN MEDIA, L.L.C.",(804) 502-1207,39.88,-75.46,Language: Spanish,2.5,0,106.84,-86.47
1.6,WLXE,AM,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC",(212) 219-7392,39.10,-77.15,,0.5,0,15.49,-70.449
1.6,WLXE,AM,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC",(212) 219-7392,39.10,-77.15,,1,0,15.49,-67.438
1.6,WPDC,AM,"JVJ COMMUNICATIONS, INC.",(717) 367-1600,40.16,-76.58,Language: English,0.01,0,90.07,-110.013
1.6,WPDC,AM,"JVJ COMMUNICATIONS, INC.",(717) 367-1600,40.16,-76.58,Language: English,1,0,90.07,-88.464
1.69,WPTX,AM,"SOMAR COMMUNICATIONS, INC.",,38.28,-76.56,,1,0,49.27,-81.734
1.69,WPTX,AM,"SOMAR COMMUNICATIONS, INC.",,38.28,-76.56,,10,0,49.27,-71.734
60,-,LPD,"LIVE SPORTS RADIO, INC.",,38.91,-77.02,,0.01,0,0.83,-86.923
60,-,LPD,"LIVE SPORTS RADIO, LLC",,38.91,-77.02,,0.01,0,0.83,-86.923
60,-,LPD,"LIVE SPORTS RADIO, LLC",,38.95,-77.04,,0.01,0,3.87,-105.366
60,WEVD-LD,LPD,"ZEBRA MEDIA, LLC",,40.12,-77.07,[RFCh]/ViCh: [3]/30,3,0,84.36,-114.392
66,-,LPD,LIVE SPORTS RADIO INC.,,38.87,-77.01,,0.01,0,2.11,-98.926
66,-,LPD,"LIVE SPORTS RADIO, INC.",,38.87,-77.01,,0.01,0,2.11,-98.926
66,-,LPD,"LIVE SPORTS RADIO, LLC",,38.91,-77.02,,0.01,0,0.83,-87.751
76,WMDE,DTV,"RNN D.C. LICENSE CO., LLC",(813) 892-7309,38.95,-76.09,[RFCh]/ViCh: [5]/36; Language: English,10,0,49.37,-104.817
82,WDCN-LP,LPA,SIGNAL ABOVE LLC,(434) 941-9123,38.90,-77.14,"Language: English, Spanish",3,0,6.88,-87.166
82,WDCN-LP,LPD,SIGNAL ABOVE LLC,(434) 941-9123,38.90,-77.14,"Language: English, Spanish",3,0,6.88,-87.166
88.1,WGWS,FM,CSN INTERNATIONAL,,38.15,-76.37,,1.1,0,62.7,-118.542
88.1,WMUC-FM,FM,UNIVERSITY OF MARYLAND,(410) 474-0741,38.98,-76.94,Language: English,0.01,0,6.51,-111.906
88.1,WPRZ-FM,FM,"PRAISE COMMUNICATIONS, INC.",(540) 349-1250,38.51,-78.06,Language: English,10,0,62.72,-108.96
88.1,WRIH,FM,AMERICAN FAMILY ASSOCIATION,(662) 821-2006,37.72,-77.37,,5,0,84.45,-115.522
88.1,WRIH,FM,AMERICAN FAMILY ASSOCIATION,(662) 821-2006,37.72,-77.36,,5,0,84.45,-115.522
88.1,WVYC,FM,YORK COLLEGE OF PENNSYLVANIA,(717) 860-3288,39.95,-76.73,Language: English,0.04,0,73.7,-135.322
88.1,WWER,FM,COLONIAL BEACH COMMUNITY FOUNDATION,(540) 373-5355,38.26,-77.00,Language: English,0.1,0,44.33,-124.814
88.1,WYPF,FM,YOUR PUBLIC RADIO CORPORATION,(410) 868-4385,39.49,-77.50,Language: English,1,0,48.5,-115.889
88.1,WYPR,FM,WYPR LICENSE HOLDING LLC,(410) 868-4385,39.33,-76.66,Language: English,15.5,0,35.07,-100.113
88.3,WQIQ,FM,"VIRGINIA TECH FOUNDATION, INC.",(540) 989-8900,38.13,-77.72,Language: English,3.5,0,65.79,-114.108
88.3,WWEC,FM,ELIZABETHTOWN COLLEGE,,40.15,-76.59,,0.1,0,88.88,-133.142
88.3,WZXE,FM,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,39.73,-75.97,,0.48,0,80.05,-125.08
88.3,WZXQ,FM,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,39.96,-77.48,,0.11,0,77.3,-131.061
88.5,WAMU,FM,BOARD OF TRUSTEES OF AMERICAN UNIVERSITY,(540) 553-6836,38.94,-77.09,Language: English,47,0,5.07,-72.243
88.5,WAMU,FM,BOARD OF TRUSTEES OF AMERICAN UNIVERSITY,(540) 553-6836,38.94,-77.09,Language: English,50,0,5.07,-71.975
88.7,W204CH,FX,"BIBLE BROADCASTING NETWORK, INC.",,38.28,-77.49,,0.03,0,50.29,-132.067
88.7,W204CL,FX,GRACE MISSIONARY BAPTIST CHURCHD/B/A GRACE CHRISTIAN SCHOOL,,38.27,-76.47,,0.06,0,52.42,-129.472
88.7,WKNZ,FM,"THE BRIDGE OF HOPE, INC.",(392) 422-6909,38.89,-75.58,Language: English,25,0,76.88,-107.47
88.7,WKNZ,FM,"THE BRIDGE OF HOPE, INC.",(392) 422-6909,38.89,-75.58,Language: English,25,0,76.88,-107.47
88.7,WSYC-FM,FM,SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA,(717) 491-7124,40.08,-77.52,,0.13,0,85.53,-131.583
88.7,WWCF,FM,"COVE MOUNTAIN EDUCATIONAL BROADCASTING, INC.",(301) 797-1898,39.93,-77.96,Language: English,0.01,0,87.01,-144.476
88.7,WWLU,FM,LINCOLN UNIVERSITY,(484) 365-7876,39.81,-75.93,Language: English,0,0,85.32,-147.922
88.7,WXPH,FM,THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,(215) 805-1587,40.04,-76.62,,7,0,80.96,-113.616
88.9,W205BL,FX,GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSN.,,39.42,-77.40,,0.2,0,41.42,-121.073
88.9,WEAA,FM,MORGAN STATE UNIVERSITY,,39.34,-76.59,,12.5,0,37.83,-102.029
88.9,WVEP,FM,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,,39.14,-78.44,,3.6,0,78.5,-116.155
88.9,WVEP-FM1,FB,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,,39.35,-77.87,,0.21,0,55.64,-124.384
89.1,W206AY,FX,CSN INTERNATIONAL,,38.28,-75.66,,0.01,0,84.27,-141.445
89.1,WCNV,FM,VPM MEDIA CORPORATION,,37.91,-76.49,,3.8,0,74.56,-115.325
89.1,WFNM,FM,FRANKLIN AND MARSHALL COLLEGE,(717) 285-5336,40.05,-76.32,Language: English,0.1,0,87.09,-132.978
89.1,WGMS,FM,GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSN.,(703) 998-3286,39.70,-77.51,,0.9,0,61.16,-119.215
89.1,WRLP,FM,"HARTLAND INSTITUTE OF HEALTH AND EDUCATION, INC.",,38.25,-78.12,,0.1,0,75.12,-131.212
89.1,WRSM,FM,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",(609) 760-4622,39.72,-76.15,Language: English,1,0,72.69,-120.819
89.1,WXHL-FM,FM,"PRIORITY RADIO, INC.",(302) 229-7466,39.68,-75.66,Language: English,1.2,0,89.72,-122.541
89.3,WPFW,FM,"PACIFICA FOUNDATION, INC.",(973) 710-8173,38.94,-77.09,Language: English,50,0,5.06,-72.031
89.3,WPFW,FM,"PACIFICA FOUNDATION, INC.",(973) 710-8173,38.94,-77.09,Language: English,34,0,5.07,-73.728
89.5,WLJV,FM,EDUCATIONAL MEDIA FOUNDATION,(540) 553-6836,38.20,-77.56,Language: English,8,0,57.35,-108.995
89.5,WLJV,FM,EDUCATIONAL MEDIA FOUNDATION,(540) 553-6836,38.25,-77.51,Language: English,8,0,52.41,-107.921
89.5,WSCL,FM,SALISBURY UNIVERSITY,,38.67,-75.58,,36,0,78.54,-106.22
89.5,WSCL,FM,SALISBURY UNIVERSITY,,38.67,-75.58,,45,0,78.54,-105.251
89.7,W209BN,FX,"FAMILY WORSHIP CENTER CHURCH, INC.",,39.91,-77.64,,0.01,0,77.16,-141.589
89.7,W209BY,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,38.66,-77.29,,0.01,0,22.78,-127.987
89.7,WHFW,FM,CHRISTENDOM EDUCATIONAL CORPORATION,(540) 636-2900,39.16,-78.11,Language: English,0.18,0,61.64,-126.235
89.7,WSHC,FM,SHEPHERD COLLEGE BOARD OF GOVERNORS,,39.43,-77.80,,0.95,0,56.21,-118.029
89.7,WTMD,FM,TOWSON UNIVERSITY,(410) 271-1831,39.40,-76.60,Language: English,7.4,0,40.8,-105.287
89.7,WXMD,FM,"REDEEMER BROADCASTING, INC.",(845) 389-4436,38.35,-76.63,Language: English,7,0,43.55,-106.307
89.9,W210CC,FX,"PENSACOLA CHRISTIAN COLLEGE, INC.",,38.41,-75.60,,0.06,0,83.47,-135.144
89.9,WMTB-FM,FM,"MOUNT SAINT MARY'S COLLEGE, INCORPORATED",,39.68,-77.36,,0.1,0,57.12,-128.018
89.9,WOEL-FM,FM,"MARANATHA BIBLE INSTITUTE, INC.",(410) 392-3225,39.59,-75.86,Language: English,3,0,77.68,-116.918
89.9,WPIR,FM,POSITIVE ALTERNATIVE RADIO INC.,,38.68,-77.79,,41,0,44.85,-99.002
89.9,WXTR,FM,"ACTION, INC.",(804) 445-3234,37.87,-76.73,Language: English,2.8,0,72.8,-116.443
90.1,WCSP-FM,FM,NATIONAL CABLE SATELLITE CORPORATION D/B/A C-SPAN,(202) 309-3365,38.95,-77.08,Language: English,24,0,5.03,-75.221
90.1,WCSP-FM,FM,NATIONAL CABLE SATELLITE CORPORATION D/B/A C-SPAN,(202) 309-3365,38.96,-77.03,Language: English,36,0,4.19,-71.273
90.1,WVRS,FM,"POINT FM MINISTRIES, INC.",,39.18,-78.39,,0.25,0,76.6,-127.562
90.3,WDIH,FM,SALISBURY EDUCATIONAL B/C FOUNDATION,,38.41,-75.60,,0.38,0,83.21,-126.752
90.3,WJTL,FM,"CREATIVE MINISTRIES, INC.",(717) 471-8275,40.06,-76.46,Language: English,12,0,85.05,-112.019
90.3,WXDM,FM,CHRISTENDOM EDUCATIONAL CORPORATION,(540) 636-2900,38.95,-78.15,Language: English,0.19,0,61.37,-126.126
90.5,WCRH,FM,"CEDAR RIDGE CHILDREN'S HOME & SCHOOL, INC",(301) 582-0285,39.66,-77.97,EAS type: SR,10,0,73.22,-111.042
90.5,WKHS,FM,BOARD OF EDUCATION OF KENT COUNTY,,39.28,-76.09,,17.5,0,55.78,-105.363
90.5,WPER,FM,"POSITIVE ALTERNATIVE RADIO, INC.",,37.97,-77.37,,47,0,67.79,-103.401
90.7,WVMM,FM,MESSIAH COLLEGE,(717) 418-9531,40.16,-76.98,Language: English,0.1,0,86.89,-133.104
90.7,WZXY,FM,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,39.86,-76.95,,0.16,0,66.45,-127.86
90.9,WETA,FM,GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSN.,(703) 998-3286,38.89,-77.13,EAS type: LP-2,75,0,6.71,-73.793
91.1,W216CM,FX,"CEDAR RIDGE CHILDREN'S HOME & SCHOOL, INC",,39.49,-77.50,,0.01,0,48.57,-138.415
91.1,WDDE,FM,DELAWARE FIRST MEDIA CORPORATION,(302) 857-7096,39.01,-75.51,,2.1,0,81.04,-119.088
91.1,WHFC,FM,HARFORD COMMUNITY COLLEGE,(443) 299-2609,39.56,-76.28,EAS type: LP-2,1.1,0,59.67,-118.24
91.1,WTRM,FM,"AMERICAN FAMILY ASSOCIATION, INC.",(662) 821-2006,39.18,-78.39,,0.07,0,76.6,-132.886
91.1,WZBT,FM,GETTYSBURG COLLEGE,(717) 503-7671,39.84,-77.22,Language: English,0.35,0,65.89,-124.399
91.3,WARN,FM,AMERICAN FAMILY ASSOCIATION,(662) 821-2006,38.74,-77.84,,13.5,0,46.02,-104.267
91.3,WESM,FM,"UNIVERSITY OF MARYLAND, EASTERN SHORE",,38.21,-75.68,,45,0,86.27,-106.544
91.3,WLCH,FM,"SPANISH AMERICAN CIVIC ASSOCIATION FOR EQUALITY, INC.",(717) 285-5336,40.07,-76.29,Language: English,0.16,0,89.38,-131.458
91.3,WVUD,FM,UNIVERSITY OF DELAWARE,(302) 831-2701,39.69,-75.76,Language: English,6.8,0,86.33,-114.76
91.5,W218CV,FX,CSN INTERNATIONAL,,38.27,-77.50,,0.02,0,50.99,-134.028
91.5,WBJC,FM,BALTIMORE CITY COMMUNITY COLLEGE,(410) 982-2031,39.39,-76.73,Language: English,50,0,36.56,-95.853
91.7,W219DL,FX,"LIBERTY UNIVERSITY, INC.",,38.68,-77.79,,0.07,0,44.85,-126.551
91.7,WIXQ,FM,MILLERSVILLE UNIVERSITY,(717) 285-5336,40.00,-76.36,Language: English,0.1,0,83.38,-132.885
91.7,WRTX,FM,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED,,39.20,-75.56,,0.58,0,80.19,-124.607
91.7,WZWG,FM,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.82,-75.91,,0.16,0,86.45,-131.097
91.7,WZWG,FM,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.82,-75.91,,0.4,0,86.45,-127.118
91.7,WZXH,FM,FOUR RIVERS COMMUNITY BROADCASTING CORP.,,39.46,-77.70,,0.9,0,53.48,-117.861
91.9,W220BX,FX,CSN INTERNATIONAL,,40.01,-76.68,,0.01,0,78.28,-141.973
91.9,W220CT,FX,"PRIORITY RADIO, INC.",,38.41,-75.60,,0.02,0,83.47,-139.728
91.9,WGTS,FM,"ATLANTIC GATEWAY COMMUNICATIONS, INC.",,38.89,-77.13,,23.5,0,6.71,-78.928
91.9,WXHM,FM,"PRIORITY RADIO, INC.",(302) 229-7466,39.44,-75.72,Language: English,0.28,0,78.37,-127.515
92.1,W221EQ,FX,"WINCHESTER RADIO BROADCASTERS, LLC",,38.96,-78.33,,0.25,0,71.29,-126.895
92.1,WIKG,FM,HJV LIMITED PARTNERSHIP,(717) 593-6161,39.81,-77.81,,4,0,75.82,-115.589
92.1,WIKG,FM,HJV LIMITED PARTNERSHIP,(717) 593-6161,39.81,-77.81,,4,0,75.87,-115.598
92.3,WERQ-FM,FM,"RADIO ONE LICENSES, LLC",(410) 332-8200,39.34,-76.67,Language: English,37,0,35.22,-96.791
92.5,W223CH,FX,"HALL COMMUNICATIONS, INC.",,40.04,-76.31,,0.25,0,86.98,-129.309
92.5,WINC-FM,FM,"CENTENNIAL LICENSING II, LLC",(540) 667-2224,38.96,-78.02,"EAS type: SR, LP-1; Language: English",22,0,54.8,-104.347
92.5,WNKZ-FM,FM,"THE BRIDGE OF HOPE, INC.",,38.14,-75.66,,2.95,0,89.73,-118.961
92.7,WDCJ,FM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.65,-76.77,Language: English,2.2,0,21.59,-103.241
92.7,WDCJ,FM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.65,-76.77,Language: English,2.15,0,21.63,-103.36
92.7,WDCJ,FM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.67,-76.59,Language: English,2.85,0,27.36,-104.946
92.7,WEMR-LP,FL,CHAMBERSBURG AREA SCHOOL DISTRICT,(717) 261-3459,39.91,-77.63,Language: English,0.1,0,77.34,-131.903
92.7,WONN-FM,FM,"HALL COMMUNICATIONS, INC.",(717) 653-0800,40.08,-76.80,,0.7,0,81.83,-124.126
92.7,WSJF-LP,FL,"ST. JOSEPH'S, SYKESVILLE, ROMAN CATHOLIC CONGREGATION, INC",,39.38,-76.98,,0.03,0,33.26,-127.846
92.7,WVTO-LP,FL,THE BENEDICTINE SOCIETY OF BALTIMORE CITY,(443) 722-7937,39.27,-76.67,,0.1,0,31.21,-121.065
92.7,WVTO-LP,FL,THE BENEDICTINE SOCIETY OF BALTIMORE CITY,(443) 722-7937,39.29,-76.61,,0.01,0,33.92,-134.28
92.9,W225CN,FX,METRO RADIO INC.,,38.85,-77.37,,0.03,0,20.01,-121.795
92.9,W225CU,FX,"MOBILE RADIO PARTNERS, INC.",,37.71,-77.64,,0.25,0,89.09,-129.633
92.9,WRDX,FM,"CAPSTAR TX, LLC",(918) 664-4581,39.20,-75.56,Language: English,1.7,0,80.19,-120.05
92.9,WXDC,FM,"METRO RADIO, INC.",,39.62,-78.22,,3.2,0,81.42,-117.484
93.1,WPOC,FM,"CITICASTERS LICENSES, INC.",(918) 664-4581,39.29,-76.75,"EAS type: LP-2, SR, SP-2; Language: English",16,0,29.82,-98.519
93.3,WFLS-FM,FM,ALPHA MEDIA LICENSEE LLC,(703) 201-6610,38.31,-77.44,"EAS type: SR, LP-1; Language: English",50,0,47.02,-99.026
93.3,WYPM,FM,"WITF, INC.",(717) 910-2825,40.05,-77.75,EAS type: PN; Language: English,0.35,0,88.56,-128.136
93.5,W228AM,FX,"MANNING BROADCASTING, INC.",,39.42,-77.50,,0.15,0,44.33,-123.571
93.5,W228BA,FX,"POSITIVE ALTERNATIVE RADIO, INC.",,39.08,-77.86,,0.01,0,47.51,-136.158
93.5,W228DI,FX,"WASHINGTON DC FCC LICENSE SUB, LLC",,39.04,-77.05,,0.13,0,9.83,-106.199
93.5,W228DU,FX,"METRO RADIO, INC.",,39.62,-78.22,,0.1,0,81.42,-132.592
93.5,W228EI,FX,"HILLTOP COMMUNICATIONS, LLC",,39.38,-76.98,,0.01,0,33.26,-130.17
93.5,WTTZ-LP,FL,"STATE OF MARYLAND, MDOT, MARYLAND TRANSIT ADMINISTRATION",,39.34,-76.65,,0,0,35.58,-136.684
93.5,WZCY-FM,FM,CUMULUS LICENSING LLC,,40.18,-76.88,,1.25,0,88.38,-122.603
93.7,W229CM,FX,WEST VIRGINIA RADIO CORPORATION OF THE ALLEGHENIES,,39.46,-77.99,,0.25,0,65.19,-125.977
93.7,W229DK,FX,"FM RADIO LICENSES, LLC",,39.84,-77.22,,0.25,0,65.92,-126.109
93.7,WRGG-LP,FL,GREENCASTLE-ANTRIM EDUCATION FOUNDATION,,39.79,-77.67,,0.01,0,71.02,-140.565
93.7,WRGG-LP,FL,GREENCASTLE-ANTRIM EDUCATION FOUNDATION,,39.79,-77.67,,9,0,71.02,-111.436
93.9,W230AX,FX,"SHIPPENSBURG BROADCASTING, INC.",,40.08,-77.54,,0.14,0,85.79,-131.64
93.9,W230CO,FX,RUBY J. LOPEZ,,38.61,-75.59,,0.25,0,79.26,-128.328
93.9,W230CQ,FX,"RADIO LICENSE HOLDING CBC, LLC",,40.00,-76.69,,0.25,0,77.59,-128.075
93.9,WKYS,FM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.94,-77.08,Language: English,24.5,0,4.7,-74.67
94.1,W231BJ,FX,CALVARY CHAPEL OF FREDERICKSBURG,,38.27,-77.50,,0.01,0,50.99,-137.059
94.3,W232CL,FX,"AMERICAN FM ASSOCIATES, INC.",,39.26,-76.67,,0,0,30.19,-134.797
94.3,W232CL,FX,"AMERICAN FM ASSOCIATES, INC.",,39.26,-76.67,,0.1,0,30.19,-120.817
94.3,W232DE,FX,WIN RADIO BROADCASTING CORP.,,39.04,-77.20,,0.25,0,13.94,-107.606
94.3,W232DG,FX,"WASHINGTON DC FCC LICENSE SUB, LLC",,39.46,-77.49,,0.16,0,46.79,-124.009
94.3,WINX-FM,FM,"FM RADIO LICENSES, LLC",(443) 439-9806,38.63,-76.06,Language: English,4.6,0,54.67,-111.281
94.3,WLZV,FM,EDUCATIONAL MEDIA FOUNDATION,(916) 251-1767,38.74,-77.83,,2,0,45.95,-112.824
94.3,WOWD-LP,FL,HISTORIC TAKOMA INC.,(202) 236-1281,38.97,-77.01,Language: English,0.02,0,4.92,-106.145
94.3,WQCM,FM,ALPHA MEDIA LICENSEE LLC,(717) 404-5390,39.79,-77.67,Language: English,3.5,0,71.02,-115.594
94.5,W233AA,FX,JAMES MADISON UNIVERSITY BOARD OF VISITORS,,39.19,-78.17,,0.04,0,65.66,-133.584
94.5,WDAC,FM,WDAC RADIO COMPANY,(717) 284-4123,39.90,-76.24,Language: English,19,0,80.02,-109.689
94.7,WDSD,FM,"CAPSTAR TX, LLC",(918) 664-4581,39.20,-75.56,Language: English,50,0,80.19,-105.531
94.7,WIAD,FM,"ENTERCOM LICENSE, LLC",(240) 997-3955,38.96,-77.10,,20.5,0,6.67,-79.705
94.9,W235BT,FX,"VIRGINIA TECH FOUNDATION, INC",,38.31,-77.48,,0.08,0,48.34,-127.465
94.9,WUDS-LP,FL,MASSANUTTEN MILITARY ACADEMY,,38.88,-78.51,,0.1,0,80.92,-132.648
95.1,WIKZ,FM,ALPHA MEDIA LICENSEE LLC,(717) 404-5390,39.93,-77.70,EAS type: LP-2; Language: English,50,0,79.83,-105.514
95.1,WRBS-FM,FM,"PETER & JOHN RADIO FELLOWSHIP, INC.",(410) 247-4103,39.26,-76.67,Language: English,50,0,30.24,-93.922
95.3,W237CA,FX,"PIEDMONT COMMUNICATIONS, INC.",,38.48,-77.99,,0.18,0,60.38,-126.683
95.3,W237EN,FX,"FM RADIO LICENSES, LLC",,39.82,-77.01,,0.25,0,63.36,-125.783
95.3,WKDB,FM,"THE VOICE RADIO, LLC",(302) 228-8942,38.50,-75.66,Language: English,6,0,77.81,-114.435
95.3,WZRV,FM,"ROYAL BROADCASTING, INC.",(540) 683-6800,38.98,-78.20,Language: English,6,0,64.4,-112.176
95.5,WPGC-FM,FM,"ENTERCOM LICENSE, LLC",(240) 997-3955,38.86,-76.91,EAS type: LP-2,50,0,5.9,-74.448
95.7,W239BV,FX,"CAPSTAR TX, LLC",,39.18,-78.26,,0.04,0,70.11,-134.477
95.7,W239CS,FX,"HOLY FAMILY RADIO, INC.",,40.08,-76.80,,0.2,0,81.83,-129.843
95.9,W240DJ,FX,"RADIO ONE LICENSES, LLC",,39.00,-77.06,,0.25,0,7.19,-99.84
95.9,WGRQ,FM,"TELEMEDIA BROADCASTING, INC.",(540) 226-5616,38.27,-77.50,Language: English,2.5,0,50.99,-113.244
95.9,WICL,FM,WEST VIRGINIA RADIO CORPORATION OF THE ALLEGHENIES,(304) 342-8131,39.61,-77.78,,3.3,0,63.76,-114.707
95.9,WWIN-FM,FM,"RADIO ONE LICENSES, LLC",(410) 332-8200,39.20,-76.57,Language: English,3,0,31.48,-106.692
96.1,W241AO,FX,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",,39.11,-76.02,,0.04,0,55.26,-131.669
96.1,WIHW-LP,FL,CAPITOL BAPTIST CHURCH,(302) 734-2410,39.14,-75.54,,0.1,0,80.51,-132.697
96.1,WSOX,FM,RADIO LICENSE HOLDING SRC LLC,(717) 478-4005,39.90,-76.58,Language: English,13.5,0,72.92,-110.211
96.3,W242AR,FX,"SPLENDOR OF TRUTH RADIO, INC.",,39.71,-78.17,,0.02,0,83.53,-140.366
96.3,W242BY,FX,ALPHA MEDIA LICENSEE LLC,,39.93,-77.70,,0.25,0,79.83,-128.633
96.3,WHUR-FM,FM,THE HOWARD UNIVERSITY,(202) 806-3508,38.95,-77.08,,16.5,0,5.04,-77.435
